Radionuclide,Gamma Energy Peak (keV),Emission Probability (%),Half-Life,Units,,Source:,http://www.nuclearsafety.gc.ca/pubs_catalogue/uploads/Radionuclide-Information-Booklet-2018-eng.pdf
F-18,511,194,1.83,hours,,,
,,,,,,,
Na-22,511,180,2.60,years,,,
Na-22,1274.54,100,,,,,
,,,,,,,
Sc-46,1120.5,100,83.79,days,,,
Sc-46,889.3,100,,,,,
,,,,,,,
Cr-51,320.1,9.9,27.70,days,,,
,,,,,,,
Fe-55,5.9,16,2.74,years,,,
Fe-55,5.89,8.24,,,,,
Fe-55,6.49,3.29,,,,,
,,,,,,,
Co-57,1221,85.5,271.74,days,,,
Co-57,136.5,10.7,,,,,
Co-57,14.4,9.2,,,,,
,,,,,,,
Co-58,810.8,99.5,70.86,days,,,
Co-58,511,30,,,,,
Co-58,864,0.7,,,,,
,,,,,,,
Co-60,1332.5,100,5.27,years,,,
Co-60,1173.2,99.9,,,,,
,,,,,,,
Ge-67,93.3,39.2,3.26,days,,,
Ge-67,184.6,21.2,,,,,
Ge-67,300.2,16.8,,,,,
,,,,,,,
Ge-68,511,178,270.95,days,,,
Ge-68,10,44.2,,,,,
Ge-68,1077.34,3.2,,,,,
,,,,,,,
Ga-68,511,178,1.13,hours,,,
Ga-68,1077.34,3.2,,,,,
Ga-68,1883.16,0.14,,,,,
,,,,,,,
Se-75,264.7,59,119.80,days,,,
Se-75,136,59,,,,,
Se-75,10.5,32,,,,,
,,,,,,,
Mo-99,140.51,83,2.75,days,,,
Mo-99,739.5,12.1,,,,,
Mo-99,181.07,6,,,,,
,,,,,,,
Tc-99m,140.51,89,211000.00,years,,,
Tc-99m,18.37,4,,,,,
Tc-99m,18.25,2.1,,,,,
,,,,,,,
Cd-109,22.16,35.5,461.40,days,,,
Cd-109,21.99,18.8,,,,,
Cd-109,24.93,9.7,,,,,
,,,,,,,
In-111,245.35,94.1,2.80,days,,,
In-111,171.28,90.7,,,,,
In-111,23.17,44.6,,,,,
,,,,,,,
I-123,158.97,83.3,13.20,hours,,,
I-123,27.47,46.3,,,,,
I-123,27.2,24.8,,,,,
,,,,,,,
I-124,602.72,62.9,4.18,days,,,
I-124,27,47,,,,,
I-124,511,45.6,,,,,
,,,,,,,
I-125,27.47,74.4,59.40,days,,,
I-125,27.2,39.9,,,,,
I-125,31,25.8,,,,,
,,,,,,,
I-131,364.49,81.2,8.03,days,,,
I-131,636.99,7.3,,,,,
I-131,284.3,6.1,,,,,
,,,,,,,
Sb-124,602.73,97.9,60.20,days,,,
Sb-124,1690.98,47.6,,,,,
Sb-124,722.78,10.8,,,,,
,,,,,,,
Ba-133,30.97,64,10.54,years,,,
Ba-133,356.01,62,,,,,
Ba-133,60.63,35,,,,,
,,,,,,,
Cs-137,661.66,85,30.08,years,,,
Cs-137,32.19,3.6,,,,,
Cs-137,31.82,1.95,,,,,
,,,,,,,
Ir-192,316.51,82.8,73.83,days,,,
Ir-192,468.07,47.8,,,,,
Ir-192,308.46,29.7,,,,,
,,,,,,,
Tl-201,70.82,41.1,3.04,days,,,
Tl-201,68.9,27.7,,,,,
Tl-201,80.3,20.7,,,,,
,,,,,,,
Am-241,59.54,36,432.60,years,,,
Am-241,14.44,33.1,,,,,
Am-241,26.34,2.4,,,,,